Detalle gastos entregas
CODIGO_ENTREGA;EMPRESA;PROVEEDOR;FECHA_LLEGADA;FECHA_ORIGEN;PRODUCTO;UNIDADES;KILOS;GASTO_012;GASTO_013;GASTO_014;GASTO_015;GASTO_016;GASTO_051;GASTO_052;GASTO_053;GASTO_054;GASTO_055;GASTO_056;GASTO_057;GASTO_058;GASTO_059;GASTO_060;GASTO_061;GASTO_062;GASTO_063;GASTO_064;GASTO_065;GASTO_066;GASTO_084
F17121-31094;F17;140;05/02/2021;05/02/2021;YUC;0;6480;0;0;0;0;0;0;0;0;5508;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31095;F17;512;09/02/2021;05/02/2021;PLA;0;18785;0;0;0;0;0;0;0;0;14152,2;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31092;F17;512;09/02/2021;04/02/2021;PLA;0;19160;0;0;0;0;0;0;0;0;13819,2;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31067;F17;512;02/02/2021;28/01/2021;PLA;0;18930;0;0;0;0;0;0;0;0;15208,8;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31110;F17;483;10/02/2021;10/02/2021;PLA;0;19890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31079;F17;483;02/02/2021;30/01/2021;PLA;0;19890;0;0;0;0;0;0;0;0;13540,5;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31117;F17;421;15/02/2021;11/02/2021;PLA;0;18771;0;0;0;0;0;0;0;0;12666,75;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31115;F17;421;15/02/2021;11/02/2021;PLA;0;18620;0;0;0;0;0;0;0;0;13235;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31114;F17;421;15/02/2021;10/02/2021;PLA;0;18782;0;0;0;0;0;0;0;0;12666,7;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31113;F17;421;15/02/2021;10/02/2021;PLA;0;18692;0;0;0;0;0;0;0;0;13117,8;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31112;F17;421;15/02/2021;10/02/2021;PLA;0;18980;0;0;0;0;0;0;0;0;11461;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31109;F17;421;15/02/2021;10/02/2021;PLA;0;19466;0;0;0;0;0;0;0;0;12135,07;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31108;F17;421;15/02/2021;09/02/2021;PLA;0;19404;0;0;0;0;0;0;0;0;12360,04;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31107;F17;421;15/02/2021;08/02/2021;PLA;0;19521;0;0;0;0;0;0;0;0;5959,06;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31106;F17;421;12/02/2021;08/02/2021;PLA;0;19377;0;0;0;0;0;0;0;0;9688,5;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31103;F17;421;12/02/2021;08/02/2021;PLA;0;19043;0;0;0;0;0;0;0;0;9521,5;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31102;F17;421;12/02/2021;08/02/2021;PLA;0;19016;0;0;0;0;0;0;0;0;9509,5;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31101;F17;421;12/02/2021;08/02/2021;PLA;0;18825;0;0;0;0;0;0;0;0;9412,5;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31100;F17;421;12/02/2021;08/02/2021;PLA;0;18846;0;0;0;0;0;0;0;0;9423;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31099;F17;421;12/02/2021;08/02/2021;PLA;0;18848;0;0;0;0;0;0;0;0;9424;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31093;F17;421;10/02/2021;05/02/2021;PLA;0;20192;0;0;0;0;0;0;0;0;14709,79;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31085;F17;421;09/02/2021;03/02/2021;PLA;0;18336;0;0;0;0;125;0;0;0;18170,97;0;0;0;20;0;0;0;0;0;0;0;0;0;
F17121-31091;F17;421;08/02/2021;04/02/2021;PLA;0;20329;0;0;0;0;0;0;0;0;14071,7;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31090;F17;421;08/02/2021;04/02/2021;PLA;0;20297;0;0;0;0;0;0;0;210;14227,88;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31087;F17;421;08/02/2021;04/02/2021;PLA;0;20052;0;0;0;0;0;0;0;0;13920,17;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31086;F17;421;08/02/2021;03/02/2021;PLA;0;20409;0;0;0;0;0;0;0;0;14029,64;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31084;F17;421;08/02/2021;03/02/2021;PLA;0;20802;0;0;0;0;0;0;0;0;14331,12;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31083;F17;421;08/02/2021;01/02/2021;PLA;0;20175;0;0;0;0;0;0;0;0;15194,6;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31081;F17;421;05/02/2021;01/02/2021;PLA;0;20570;0;0;0;0;0;0;0;0;15798,12;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31080;F17;421;05/02/2021;01/02/2021;PLA;0;20189;0;0;0;0;0;0;0;0;14160,63;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31077;F17;421;05/02/2021;01/02/2021;PLA;0;19965;0;0;0;0;0;0;0;0;15035,94;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31076;F17;421;05/02/2021;01/02/2021;PLA;0;20127;0;0;0;0;0;0;0;0;12224,17;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31074;F17;421;03/02/2021;29/01/2021;PLA;0;20069;0;0;0;0;0;0;0;0;15247,75;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31073;F17;421;03/02/2021;29/01/2021;PLA;0;20309;0;0;0;0;0;0;0;0;14819,22;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31072;F17;421;03/02/2021;29/01/2021;PLA;0;20029;0;0;0;0;0;0;0;0;15451,22;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31071;F17;421;03/02/2021;28/01/2021;PLA;0;20244;0;0;0;0;0;0;0;0;14625,8;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31068;F17;421;02/02/2021;28/01/2021;PLA;0;20303;0;0;0;0;0;0;0;0;14481,42;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31065;F17;421;02/02/2021;27/01/2021;PLA;0;20544;0;0;0;0;125;0;0;0;14660,46;0;0;17;20;0;0;0;0;0;0;0;0;0;
F17121-31064;F17;421;01/02/2021;27/01/2021;PLA;0;21188;0;0;0;0;0;0;0;0;28204,46;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31063;F17;421;01/02/2021;26/01/2021;PLA;0;20654;0;0;0;0;0;0;0;0;27095,25;0;0;17;40;0;0;0;0;0;0;0;0;0;
F17121-31098;F17;345;09/02/2021;05/02/2021;PLA;0;22100;0;0;0;0;125;0;0;0;14067,5;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31096;F17;345;09/02/2021;05/02/2021;PLA;0;22100;0;0;0;0;0;0;0;0;13557,5;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31070;F17;345;02/02/2021;28/01/2021;PLA;0;17850;0;0;0;0;125;0;0;0;11687,5;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31088;F17;338;04/02/2021;04/02/2021;PLA;0;19986;0;0;0;0;0;0;0;0;15123,3;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31105;F17;045;09/02/2021;08/02/2021;PLA;0;20660;0;0;0;0;0;0;0;0;12809;0;0;0;0;0;0;0;0;0;0;0;0;0;
F17121-31104;F17;045;09/02/2021;08/02/2021;PLA;0;20010;0;0;0;0;0;0;0;0;13681,2;0;0;0;0;0;0;0;0;0;0;0;0;0;
